battle;article;date;state;outcome;start_date;victory;battle_location
Battle of Punk Hill;https://en.wikipedia.org/wiki/Battle_of_Punk_Hill;March 8, 1777;New Jersey;Patriot victory;1777-03-08;Patriot victory;40.523, -74.357
Battle of The Cedars;https://en.wikipedia.org/wiki/Battle_of_The_Cedars;May 18-27, 1776;Quebec;British victory;1776-05-18;British victory;45.30993, -74.035336
Battle of Trenton;https://en.wikipedia.org/wiki/Battle_of_Trenton;December 26, 1776;New Jersey;Patriot victory: Patriots capture Hessian detachment at Trenton.;1776-12-26;Patriot victory;40.218, -74.755
Battle of Springfield;https://en.wikipedia.org/wiki/Battle_of_Springfield_(1780);June 23, 1780;New Jersey;Patriot victory;1780-06-23;Patriot victory;40.70912, -74.2997
Action of 18 October 1782;https://en.wikipedia.org/wiki/Action_of_18_October_1782;October 18, 1782;Hispaniola;British victory;1782-10-18;British victory;19.1833333333, -69.3166666667
Battle of Newtown;https://en.wikipedia.org/wiki/Battle_of_Newtown;August 29, 1779;Indian Reserve;Patriot victory;1779-08-29;Patriot victory;42.045278, -76.733333
Battle of Klock's Field;https://en.wikipedia.org/wiki/Battle_of_Klock%27s_Field;October 19, 1780;New York;Patriot victory;1780-10-19;Patriot victory;42.9994444444, -74.7083333333
Siege of Fort Ticonderoga;https://en.wikipedia.org/wiki/Siege_of_Fort_Ticonderoga_(1777);July 5-6, 1777;New York;British victory;1777-07-05;British victory;43.8413888889, -73.3880555556
Battle of Fort Motte;https://en.wikipedia.org/wiki/Battle_of_Fort_Motte;May 8-12, 1781;South Carolina;Patriot victory;;Patriot victory;33.76084, -80.66965
Battle of Fort Washington;https://en.wikipedia.org/wiki/Battle_of_Fort_Washington;November 16, 1776;New York;British victory: British capture 3,000 Patriots on Manhattan in one of the most devastating Patriot defeats of the war.;1776-11-16;British victory;40.853, -73.938
Battle of Matson's Ford;https://en.wikipedia.org/wiki/Battle_of_Matson%27s_Ford;December 11, 1777;Pennsylvania;British victory;1777-12-11;British victory;40.07128, -75.309935
North Channel Naval Duel;https://en.wikipedia.org/wiki/North_Channel_Naval_Duel;April 24, 1778;Great Britain;Patriot victory;1778-04-24;Patriot victory;54.7241666667, -5.45
Battle of Kings Mountain;https://en.wikipedia.org/wiki/Battle_of_Kings_Mountain;October 7, 1780;South Carolina;Patriot victory: halts first British invasion of North Carolina.;1780-10-07;Patriot victory;35.11935, -81.39359
Battle of Monmouth;https://en.wikipedia.org/wiki/Battle_of_Monmouth;June 28, 1778;New Jersey;Draw: British break off engagement and continue retreat to New York.;1778-06-28;;40.2588888889, -74.2752777778
Burning of Norfolk;https://en.wikipedia.org/wiki/Burning_of_Norfolk;January 1, 1776;Virginia;British bombard Norfolk and Patriots destroy what they see as a loyalist stronghold.;1776-01-01;;36.91, -76.2069444444
Battle of Fort Lee;https://en.wikipedia.org/wiki/Battle_of_Fort_Lee;November 20, 1776;New Jersey;British victory: Patriots begin general retreat;1776-11-20;British victory;40.8502777778, -73.9630555556
Action of 20â€“21 April 1782;https://en.wikipedia.org/wiki/Action_of_20%E2%80%9321_April_1782;April 20-21, 1782;Bay of Biscay;British victory;1782-04-20;British victory;
Battle of St. Louis;https://en.wikipedia.org/wiki/Battle_of_St._Louis;May 25, 1780;Louisiana;Patriot-Spanish victory;1780-05-25;;38.6242777778, -90.1892222222
